##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	1_R1_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21349284
Sequences flagged as poor quality	0
Sequence length	30-150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.260430654255195	37.0	32.0	37.0	32.0	37.0
2	35.233837724956025	37.0	32.0	37.0	32.0	37.0
3	36.45604934572982	37.0	37.0	37.0	37.0	37.0
4	36.55495922017806	37.0	37.0	37.0	37.0	37.0
5	36.606408673939605	37.0	37.0	37.0	37.0	37.0
6	37.575487121722674	37.0	37.0	37.0	37.0	41.0
7	37.598252194312465	37.0	37.0	37.0	37.0	41.0
8	37.62417723236058	37.0	37.0	37.0	37.0	41.0
9	37.61656948307962	37.0	37.0	37.0	37.0	41.0
10-14	37.590315909423474	37.0	37.0	37.0	37.0	41.0
15-19	37.5876524102635	37.0	37.0	37.0	37.0	41.0
20-24	37.54509429918117	37.0	37.0	37.0	37.0	41.0
25-29	37.4850488662758	37.0	37.0	37.0	37.0	41.0
30-34	37.48180608221672	37.0	37.0	37.0	37.0	41.0
35-39	37.43695230482258	37.0	37.0	37.0	37.0	41.0
40-44	37.42169343842338	37.0	37.0	37.0	37.0	41.0
45-49	37.36279618364182	37.0	37.0	37.0	37.0	41.0
50-54	37.371539668768406	37.0	37.0	37.0	37.0	41.0
55-59	37.365747799007785	37.0	37.0	37.0	37.0	41.0
60-64	37.379115825045	37.0	37.0	37.0	37.0	41.0
65-69	37.358805155019674	37.0	37.0	37.0	37.0	41.0
70-74	37.23339905215496	37.0	37.0	37.0	37.0	41.0
75-79	37.171467483303374	37.0	37.0	37.0	37.0	41.0
80-84	37.249934046016335	37.0	37.0	37.0	37.0	41.0
85-89	37.15970202202813	37.0	37.0	37.0	37.0	41.0
90-94	37.05306733147698	37.0	37.0	37.0	37.0	41.0
95-99	36.763509045929524	37.0	37.0	37.0	36.0	41.0
100-104	37.214614272364464	37.0	37.0	37.0	37.0	41.0
105-109	37.20450324789509	37.0	37.0	37.0	37.0	41.0
110-114	37.15899033175894	37.0	37.0	37.0	37.0	41.0
115-119	37.082289139669854	37.0	37.0	37.0	37.0	41.0
120-124	37.007758935856415	37.0	37.0	37.0	37.0	41.0
125-129	36.919074313982165	37.0	37.0	37.0	37.0	41.0
130-134	36.85638233319334	37.0	37.0	37.0	37.0	41.0
135-139	36.8008762014457	37.0	37.0	37.0	37.0	41.0
140-144	36.65091548102446	37.0	37.0	37.0	37.0	41.0
145-149	36.57140757292502	37.0	37.0	37.0	37.0	41.0
150	37.04761253313759	37.0	37.0	37.0	37.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-3.1515336806844942
1101	2	-4.429045673946366
1101	3	-0.9404089996202813
1101	4	-1.2034979589385983
1101	5	0.06364200461343472
1101	6	2.5403240603231936
1101	7	2.612622737603438
1101	8	2.6036059486118504
1101	9	2.033721868668543
1101	10-14	2.2539842875182856
1101	15-19	1.7833124097250277
1101	20-24	2.653164473910749
1101	25-29	2.2604860149515886
1101	30-34	2.57304146884281
1101	35-39	2.669670141145488
1101	40-44	2.6060076083404624
1101	45-49	2.4790713010326115
1101	50-54	2.5452596631591433
1101	55-59	2.6156986009437873
1101	60-64	2.471026356869956
1101	65-69	2.5540132057281184
1101	70-74	1.6427271667799772
1101	75-79	2.1012927223049047
1101	80-84	2.190915122802302
1101	85-89	1.966814104547339
1101	90-94	2.445279315751094
1101	95-99	1.9978951636179616
1101	100-104	1.645958384988404
1101	105-109	1.2929902545873304
1101	110-114	1.4673473155264176
1101	115-119	1.6990634039911257
1101	120-124	1.2392993731112014
1101	125-129	1.4993684087671042
1101	130-134	0.6795857074225964
1101	135-139	0.9473927905699497
1101	140-144	1.1806452140545005
1101	145-149	1.7402863168694225
1101	150	1.1578211461011492
1102	1	-3.67568090401047
1102	2	-3.19456368605141
1102	3	-0.924140778787212
1102	4	0.05167925736276402
1102	5	0.13102527213536064
1102	6	2.4722982371779167
1102	7	2.7792873716848803
1102	8	2.101565639564285
1102	9	2.69075045967751
1102	10-14	2.238701360524601
1102	15-19	2.8534981761885234
1102	20-24	2.5933743313134414
1102	25-29	2.5649412421990547
1102	30-34	2.8783290980085
1102	35-39	2.9070002500393315
1102	40-44	2.888514772341807
1102	45-49	2.949540208391042
1102	50-54	2.898545604081498
1102	55-59	1.877233844291304
1102	60-64	2.1456140815919724
1102	65-69	2.532870232652087
1102	70-74	2.644379847206608
1102	75-79	2.6626768488132484
1102	80-84	2.2122729597943476
1102	85-89	2.548720231970769
1102	90-94	2.4687828418395767
1102	95-99	2.951665814712186
1102	100-104	2.647159769811722
1102	105-109	2.54843296873981
1102	110-114	2.7046199424807043
1102	115-119	2.1768934108010285
1102	120-124	2.2702734237354036
1102	125-129	2.055711517908847
1102	130-134	2.781748895894445
1102	135-139	2.7170786255668347
1102	140-144	2.57880783226382
1102	145-149	2.0599280475926705
1102	150	2.1869013816406877
1103	1	-3.3168581658839784
1103	2	-3.303658286558978
1103	3	-0.4885490682603475
1103	4	-0.08560461917025464
1103	5	0.1280850011814323
1103	6	2.705170907170036
1103	7	2.789572169177873
1103	8	2.550105680486581
1103	9	1.7861492603459368
1103	10-14	2.4446715247555275
1103	15-19	2.875733076820694
1103	20-24	2.573999780646062
1103	25-29	2.575712666603245
1103	30-34	2.846712853649926
1103	35-39	2.4291826182461804
1103	40-44	0.8834462729959043
1103	45-49	1.7517642777742921
